,Original,BLUR5,BLUR10,BLUR15,BLUR20,BLUR25
definition,0,0,0,0,0,1
delicate,0,0,1,1,0,0
delight,1,0,0,0,0,0
demeanor,1,0,0,0,0,0
dense,6,7,4,1,2,0
denser,0,0,0,0,0,1
depiction,0,0,0,0,0,2
depicts,0,11,2,0,0,0
depth,5,8,11,14,20,24
descend,1,0,0,0,0,0
descending,1,0,0,0,0,0
design,7,10,3,5,1,2
designed,1,0,0,0,0,0
desk,4,2,0,0,0,0
desks,1,0,0,0,0,0
desktop,0,0,1,0,0,0
detail,0,0,0,1,1,1
detailed,0,1,0,1,1,0
detailing,0,0,1,0,0,0
details,1,0,6,8,7,6
device,0,1,1,0,0,0
diagonal,1,0,0,0,0,0
diagonally,0,0,1,0,0,0
diamond,2,1,0,0,1,0
different,1,0,1,1,0,0
diffuse,0,0,0,1,1,0
diffused,1,3,2,5,4,10
dim,1,0,3,1,0,0
dimensionality,0,0,0,0,0,1
dimly,5,4,2,1,1,0
dining,3,4,1,0,0,0
directed,1,0,0,0,0,0
dirt,4,1,0,0,1,0
disc,1,0,0,0,0,0
discern,0,0,0,0,0,1
discernible,0,0,1,2,0,0
discoloration,1,0,0,0,0,0
dish,4,2,0,0,0,0
display,1,1,0,1,0,0
displayed,5,2,0,0,0,0
displaying,1,2,0,0,0,0
displays,2,1,1,0,0,0
distance,2,4,3,2,5,2
distant,7,8,5,4,2,2
distinct,4,11,23,43,47,44
distinction,0,0,0,0,0,1
distinctive,6,3,1,0,0,0
distinctively,0,2,0,2,2,2
distinctly,1,1,6,3,2,5
distinguishing,0,0,1,0,0,0
distract,0,0,1,0,0,0
distractions,0,0,0,0,3,2
divided,1,0,0,0,0,0
dividing,0,0,0,0,1,0
diving,0,1,0,0,0,0
dock,0,1,0,0,0,0
document,1,0,0,0,0,0
dog,1,1,0,0,0,0
dogs,0,1,0,0,0,0
dome,0,0,1,0,0,0
dominate,0,0,0,1,0,0
dominated,0,0,0,3,2,1
dominates,0,0,3,0,0,0
dominating,1,1,5,5,10,9
dons,1,0,0,0,0,0
door,5,1,1,0,1,0
doors,1,0,0,0,0,0
doorway,0,1,1,0,0,0
dots,1,1,0,0,0,0
dotted,3,1,1,0,0,0
doubledecker,1,0,0,0,0,0
down,2,4,0,0,0,0
dramatic,5,1,0,0,0,0
draped,0,1,0,0,0,0
draw,0,0,0,0,0,1
drawing,0,1,0,2,5,3
draws,0,0,0,1,1,1
dreamlike,0,0,0,1,0,0
dreamy,0,0,3,5,23,22
dress,5,1,0,0,0,0
dressed,9,6,7,0,0,0
dresser,0,2,0,0,0,0
drift,0,0,1,0,0,0
driftwood,0,0,1,0,0,0
drink,0,1,0,0,0,0
driving,1,0,0,0,0,0
dry,1,0,0,0,0,0
dual,1,0,0,0,0,0
due,0,0,2,7,6,2
during,1,2,0,3,0,0
dusk,1,0,0,0,0,0
dynamic,15,18,13,6,8,7
each,3,0,1,4,3,6
ear,1,0,0,0,0,0
early,1,0,2,0,2,0
ears,1,1,0,0,0,0
earth,0,0,0,0,0,1
earthy,4,2,2,2,7,8
earthytoned,0,0,0,2,0,0
ease,0,1,0,0,0,0
easily,1,0,1,0,0,0
eat,2,0,0,0,0,0
eaten,1,0,1,0,0,0
eating,3,3,0,0,0,0
edge,1,3,2,2,1,0
edges,0,0,3,10,15,17
effect,2,0,8,16,20,34
effects,0,0,0,0,0,1
efficient,1,0,0,0,0,0
eggs,0,1,0,0,0,0
either,1,4,4,0,3,2
elbow,0,1,0,0,0,0
element,2,3,7,4,5,4
elements,2,3,5,5,5,5
elevated,1,0,0,0,0,0
elongated,0,1,4,1,2,0
emanating,0,0,1,1,2,2
emblem,0,0,0,1,0,0
emitting,0,0,1,0,0,0
emphasis,0,0,1,0,0,0
emphasize,0,2,0,0,0,0
emphasizes,2,2,1,1,1,0
emphasizing,7,3,2,2,3,1
energetic,1,0,0,1,2,0
energetically,0,0,0,1,1,0
energy,2,0,2,1,2,0
engaged,5,9,8,3,0,0
engaging,0,1,2,0,0,1
engraved,1,0,0,0,0,0
enhances,0,1,0,0,1,0
enhancing,0,0,0,0,1,1
enjoying,3,0,0,0,0,0
enthusiastically,1,0,0,0,0,0
entirely,0,0,0,1,0,0
entrance,3,0,0,0,0,0
environment,7,14,7,6,5,4
equipment,3,5,2,4,0,0
equipped,1,0,0,0,0,0
essence,1,0,0,0,0,0
ethereal,0,0,5,10,16,26
even,0,1,0,1,1,1
evening,2,0,1,0,0,0
event,1,7,1,0,0,0
evergreen,2,0,0,0,0,0
everyday,1,0,0,0,0,0
evocative,0,0,0,0,0,1
evokes,0,0,1,2,2,1
evoking,0,0,0,0,1,1
examine,0,1,0,0,0,0
examining,0,1,0,0,0,0
executing,1,0,0,0,0,0
exhaust,2,0,1,0,0,0
exit,1,0,0,0,0,0
expanse,2,0,2,1,1,0
expansive,1,0,2,3,0,0
experience,0,0,0,0,0,1
expression,2,2,1,0,1,1
expressions,0,0,0,0,1,0
expressway,1,0,0,0,0,0
extended,8,5,2,2,0,0
extending,0,0,2,0,0,0
exterior,1,1,0,0,0,0
exudes,0,1,0,0,0,0
exuding,1,0,0,0,0,0
eye,0,0,0,1,1,1
eyes,1,0,0,0,0,1
fabric,2,1,2,3,1,3
facade,1,3,1,0,0,0
facades,0,0,1,0,0,0
face,3,8,5,12,10,9
facial,0,1,1,2,4,1
facing,1,2,1,0,2,0
fade,0,0,0,0,0,1
faint,0,1,2,5,3,2
faintly,1,0,1,1,0,0
fairing,4,0,0,0,0,0
fallen,3,0,0,0,0,0
falling,0,0,0,0,1,0
fan,1,0,1,0,0,0
fasten,1,0,0,0,0,0
feature,1,1,0,0,0,0
featured,2,0,0,0,0,0
features,50,59,108,141,148,150
featuring,14,11,5,5,2,0
febbraio,1,0,0,0,0,0
feel,1,1,1,2,3,3
feeling,0,0,0,0,1,0
feet,1,3,0,0,0,0
fence,7,5,2,0,0,0
fender,1,0,0,0,0,0
ferry,1,0,0,0,0,0
festive,1,1,0,0,0,0
few,3,2,0,0,1,1
field,4,9,3,6,4,3
fiery,0,0,0,0,0,1
figure,3,9,14,21,23,19
figures,2,3,7,11,5,5
figurine,1,0,0,0,0,0
filled,8,3,4,0,0,0
filling,0,0,1,0,0,0
fillings,0,1,0,1,0,0
filter,1,0,0,0,3,0
filtering,0,1,0,0,0,0
fin,1,0,0,0,0,0
finely,1,0,0,0,0,0
finer,0,0,0,0,0,1
finish,1,0,0,0,0,0
